French,English
chercher,search
seulement,only
police,police
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
eux,them
ville,city
arrivé,come
devrait,should
longtemps,long time
heures,hours
revoir,meet again
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
pouvoir,power
sois,be
tellement,so much
point,point
venez,come
devant,in front of
vers,towards
demandé,request
droit,law
aujourd'hui,today
cause,cause
nouvelle,new
dirait,would say
fin,end
chérie,sweetheart
gros,large
aura,will have
bureau,office
